logoName,logoStart,logoEnd,provenienza,categoria
cinzano1,1946,1965,ita,alcool
idrolitina,1946,1951,ita,drinks
raffreddoreFieno1,1946,1951,ita,health
ristorante,1946,1983,ita,food
carminati,1946,1956,ita,food
guglielmone1,1946,1958,ita,food
ballor,1946,1951,,
safar,1946,1949,,tech
jodont,1946,1948,ita,health
hermes,1946,1976,,
calzatureTradate,1946,1948,ita,fashion
lAcquaDaTavola1,1946,1948,ita,drinks
coopFarmaceutica1,1946,1953,ita,health
paglieri,1947,1951,ita,beauty
vov,1947,1952,ita,alcool
lEuropeo,1947,1948,ita,media
florio,1947,1948,ita,
radimi,1947,1948,ita,beauty
istitutoZanoni,1947,1948,ita,
oxil,1947,1950,,
rimer,1947,1949,,
gancia,1947,1962,ita,alcool
dentifricioKnapp,1947,1948,,health
dulciora,1948,1948,,
sanoral,1948,1948,,
deDeFe,1948,1948,ita,fashion
eberhard,1948,1952,est,fashion
isolabella1,1948,1952,ita,alcool
lus1,1949,1953,ita,office
marzotto,1949,1952,ita,fashion
cora1,1949,1965,ita,alcool
acquaDaTavola2,1949,1950,ita,drinks
cocacola1,1951,1963,est,drinks
omsa,1951,1953,ita,fashion
milenka1,1951,1952,,
yomo,1951,1954,ita,food
sarti,1951,1959,ita,alcool
3valletti,1951,1958,ita,alcool
cerian??,1951,1951,ita,
brill,1951,1979,ita,fashion
bosca,1952,1967,ita,alcool
isolabella2,1952,1952,ita,alcool
raffreddoreFieno2,1952,1953,ita,health
marvin,1953,1961,,
venus,1953,1954,,
kaloderma1,1953,1964,est,beauty
longines,1953,1964,est,fashion
sordita,1953,1958,ita,health
lus2,1954,1961,ita,office
bonomelli1,1954,1956,ita,drinks
milenka2,1954,1957,,
istAmbrosiano,1955,1960,ita,school
titus,1955,1959,,
coopFarmaceutica2,1956,1963,ita,
admiral,1956,1958,,
lanco,1957,1962,ita,fashion
bonomelli2,1958,1960,ita,drinks
varieta,1958,1983,ita,
palladium,1958,1959,,
kores1,1959,1981,est,office
guglielmone2,1959,1961,ita,food
nescafe1,1959,1961,est,drinks
sarti2,1960,1967,ita,alcool
facis,1960,1965,ita,fashion
loeweOpta,1961,1963,est,tech
lus3,1962,1965,ita,office
aperol1red,1963,1964,ita,alcool
cocacola2,1964,1971,est,drinks
riello,1964,1970,ita,appl
farmacia,1964,1984,ita,health
nordmende1,1965,1967,est,tech
aperol2white,1966,1973,ita,alcool
cinzano2,1966,1979,ita,alcool
cora2,1966,1975,ita,alcool
lanaVergine,1966,1973,ita,fashion
boario,1966,1970,ita,drinks
nightClub,1967,1983,,
monti,1968,1973,ita,fashion
candy1,1968,1988,ita,appl
bulova,1968,1983,est,fashion
bulovaClock,1968,1973,est,fashion
castello,1968,1983,ita,arredo
nordmende2,1968,1971,est,tech
aperolGrande,1969,1979,ita,alcool
splugen,1971,1976,ita,alcool
leftScreen,1971,1975,,
boario2,1971,1973,ita,drinks
hitachi,1974,1975,est,tech
boario3,1974,1975,ita,drinks
ariston,1974,1982,ita,appl
ykk1,1974,1979,est,clothes
bulovaNewClock,1974,1983,est,fashion
zingone,1974,1978,ita,
ferrarelle,1975,1982,ita,drinks
giommi,1977,1985,ita,drinks
unicaAssicurazioni,1977,1978,ita,insu
laConcordia,1977,1978,ita,insu
gaggia,1978,1979,ita,drinks
bpm1,1978,1982,ita,bank
bancoLariano,1979,1991,ita,bank
varig,1980,1983,est,travel
ykk2,1980,1982,est,clothes
technics,1981,1999,est,tech
jvc,1982,1987,est,tech
kenwood,1982,1987,est,tech
bpm2,1983,1988,ita,bank
coeco,1983,1987,ita,
kores2,1983,1999,est,office
maxell,1983,1988,est,tech
ykk3,1983,1999,est,clothes
itabanca,1985,1988,ita,bank
agfa,1985,1988,est,tech
copiaOce,1985,1987,est,office
ricoh,1985,1988,est,office
crt1,1985,1988,ita,bank
toshiba,1985,1999,est,tech
burghyBanner,1985,1992,ita,food
burghyInsegna,1988,1992,ita,food
fabriano,1988,1999,ita,office
kimbo,1988,1999,ita,drinks
irge,1988,1991,ita,health
kodak,1989,1991,est,tech
crt2,1989,1993,ita,bank
candy2,1989,1999,ita,appl
bancaAgricolaMi,1990,1992,ita,bank
abb,1993,1995,est,tech
samsung,1996,1999,est,tech
kaloderma2,1965,1973,est,beauty
facis2,1966,1978,ita,fashion
